Afghanistan,אפגניסטן
Albania,אלבניה
Algeria,אלג'יריה
American Samoa,סמואה האמריקאית
Andorra,אנדורה
Angola,אנגולה
Anguilla,אנגווילה
Antarctica,אנטארקטיקה
Antigua and Barbuda,אנטיגואה וברבודה
Argentina,ארגנטינה
Armenia,ארמניה
Aruba,ארובה
Australia,אוסטרליה
Austria,אוסטריה
Azerbaijan,אזרבייג'אן
Bahamas,איי בהאמה
Bahrain,בחריין
Bangladesh,בנגלדש
Barbados,ברבאדוס
Belarus,בלארוס
Belgium,בלגיה
Belize,בליז
Benin,בנין
Bermuda,ברמודה
Bhutan,בהוטן
Bolivia,בוליביה
Bosnia and Herzegovina,בוסניה והרצגובינה
Botswana,בוטסוואנה
Bouvet Island,אי בובט
Brazil,ברזיל
British Indian Ocean Territory,הטריטוריה הבריטית באוקיינוס ההודי
Brunei Darussalam,ברוניי
Bulgaria,בולגריה
Burkina Faso,בורקינה פאסו
Burundi,בורונדי
Cambodia,קמבודיה
Cameroon,קמרון
Canada,קנדה
Cape Verde,כף ורדה
Cayman Islands,איי קיימן
Central African Republic,הרפובליקה המרכז אפריקאית
Chad,צ'אד
Chile,צ'ילה
China,סין
Christmas Island,אי חג המולד
Cocos (Keeling) Islands,איי קוקוס (קילינג)
Colombia,קולומביה
Comoros,איי קומורו
Compulsory,חובה
Congo,קונגו
"Congo, Democratic Republic of",הרפובליקה הדמוקרטית של קונגו
Cook Islands,איי קוק
Costa Rica,קוסטה ריקה
Croatia,קרואטיה
Cuba,קובה
Cyprus,קפריסין
Czech Republic,צ'כיה
Côte d'Ivoire,חוף השנהב
"Data retention, LEA access","אגירת נתונים, גישה לגורמי אכיפה"
Denmark,דנמרק
Djibouti,ג'יבוטי
Dominica,דומיניקה
Dominican Republic,הרפובליקה הדומיניקנית
Ecuador,מזרח טימור
Egypt,מצרים
El Salvador,אל סלוודור
Equatorial Guinea,גיניאה המשוונית
Eritrea,אריתריאה
Estonia,אסטוניה
Ethiopia,אתיופיה
Falkland Islands,איי פוקלנד
Faroe Islands,איי פארו
Fiji,פיג'י
Finland,פינלנד
France,צרפת
French Guiana,גיאנה הצרפתית
French Polynesia,פולינזיה הצרפתית
French Southern Territories,הטריטוריות הצרפתיות הדרומיות
Gabon,גאבון
Gambia,גמביה
Georgia,גיאורגיה
Germany,גרמניה
Ghana,גאנה
Gibraltar,גיברלטר
Greece,יוון
Greenland,גרינלנד
Grenada,גרנדה
Guadeloupe,גוואדלופ
Guam,גואם
Guatemala,גואטמלה
Guernsey,גרנזי
Guinea,גיניאה
Guinea-Bissau,גינאה-ביסאו
Guyana,גויאנה
Haiti,האיטי
Heard and McDonald Islands,האי הרד ואיי מקדונלד
Honduras,הונדורס
Hong Kong,הונג קונג
Hungary,הונגריה
Iceland,איסלנד
India,הודו
Indonesia,אינדונזיה
Iran,אירן
Iraq,עיראק
Ireland,אירלנד
Isle of Man,האי מאן
Israel,ישראל
Italy,איטליה
Jamaica,ג'מייקה
Japan,יפן
Jersey,ג'רזי
Jordan,ירדן
Kazakhstan,קזחסטן
Kenya,קניה
Kiribati,קיריבאטי
Kosovo,קוסובו
Kuwait,כוויית
Kyrgyzstan,קירגיזסטן
Lao People's Democratic Republic,לאוס
Latvia,לטביה
Lebanon,לבנון
Lesotho,לסוטו
Liberia,ליבריה
Libya,‏‏לוב
Liechtenstein,ליכטנשטיין
Lithuania,ליטא
Luxembourg,לוכסמבורג
Macau,מקאו
Macedonia,מקדוניה
Madagascar,מדגסקר
Malawi,מלאווי
Malaysia,מלזיה
Maldives,האיים המלדיביים
Mali,מאלי
Malta,מלטה
Marshall Islands,איי מרשל
Martinique,מרטיניק
Mauritania,מאוריטניה
Mauritius,מאוריציוס
Mayotte,מאיוט
Mexico,מקסיקו
"Micronesia, Federated States of",מיקרונזיה
Moldova,מולדובה
Monaco,מונקו
Mongolia,מונגוליה
Montenegro,מונטנגרו
Montserrat,מונסראט
Morocco,מרוקו
Mozambique,מוזמביק
Myanmar,מיאנמר
Namibia,נמיביה
Nauru,נאורו
Nepal,נפאל
New Caledonia,קלדוניה החדשה
New Zealand,ניו זילנד
Nicaragua,ניקרגואה
Niger,ניז'ר
Nigeria,ניגריה
Niue,ניווה
No,לא
Norfolk Island,האי נורפוק
North Korea,קוריאה הצפונית
Northern Mariana Islands,איי מריאנה הצפוניים
Norway,נורווגיה
Not compulsory,לא חובה
Oman,עומאן
Pakistan,פקיסטן
Palau,פלאו
"Palestine, State of",הגדה המערבית
Panama,פנמה
Papua New Guinea,פפואה גיניאה החדשה
Paraguay,פרגוואי
Pending inclusion in biometric database,מותנה בהצטרפות למאגר הביומטרי
Peru,פרו
Philippines,הפיליפינים
Pitcairn,איי פיטקרן
Poland,פולין
Portugal,פורטוגל
Puerto Rico,פורטו ריקו
